N RS DS
2930000 0.097844 0.033386 1
2940000 0.250121 0.034612 1
2950000 0.237573 0.040207 1
2960000 0.210108 0.033083 1
2970000 0.291132 0.038351 1
2980000 0.045383 0.045087 1
2990000 0.14835 0.034454 1
3000000 0.048827 0.038318 1
3010000 0.338405 0.038194 1
3020000 0.146583 0.040197 1
3030000 0.021789 0.042073 1
3040000 0.011646 0.04213 1
3050000 0.024508 0.034946 1
3060000 0.015306 0.036282 1
3070000 0.015797 0.043902 1
3080000 0.008536 0.045057 1
3090000 0.023231 0.040079 1
3100000 0.030605 0.04782 1
3110000 0.06547 0.034297 1
3120000 0.097681 0.033622 1
3130000 0.040057 0.038562 1
3140000 0.050542 0.038152 1
3150000 0.195433 0.03993 1
3160000 0.006884 0.041006 1
3170000 0.013079 0.035542 1
3180000 0.036012 0.041607 1
3190000 0.041985 0.047834 1
3200000 0.012906 0.044118 1
3210000 0.054532 0.035918 1
3220000 0.049558 0.041537 1
3230000 0.17546 0.043325 1
3240000 0.421826 0.044617 1
3250000 0.359495 0.040122 1
3260000 0.059454 0.03921 1
3270000 0.014517 0.038667 1
3280000 0.04383 0.041202 1
3290000 0.024286 0.046141 1
3300000 0.031253 0.057367 1
3310000 0.014474 0.054115 1
3320000 0.087527 0.03262 1
3330000 0.019457 0.037918 1
3340000 0.004272 0.043259 1
3350000 0.019347 0.04686 1
3360000 0.150574 0.039384 1
3370000 0.007851 0.03897 1
3380000 0.671553 0.051043 1
3390000 0.029386 0.040258 1
3400000 0.172208 0.038485 1
3410000 0.023512 0.043416 1
3420000 0.111929 0.034872 1
3430000 0.02757 0.043998 1
3440000 0.019516 0.047201 1
3450000 0.023717 0.046364 1
3460000 0.037405 0.040589 1
3470000 0.480796 0.043075 1
3480000 0.047178 0.048027 1
3490000 0.008714 0.045688 1
3500000 0.006145 0.053785 1
3510000 0.029667 0.046761 1
3520000 0.039532 0.039719 1
3530000 0.045987 0.041598 1
3540000 0.024167 0.047706 1
3550000 0.051895 0.04519 1
3560000 0.037738 0.042044 1
3570000 0.057058 0.053164 1
3580000 0.008055 0.051403 1
3590000 0.008136 0.04964 1
3600000 0.242746 0.040249 1
3610000 0.019723 0.050343 1
3620000 0.171814 0.049893 1
3630000 0.004527 0.047395 1
3640000 0.099135 0.054699 1
3650000 0.231142 0.042702 1
3660000 0.01225 0.048373 1
3670000 0.094054 0.044919 1
3680000 0.168277 0.042079 1
3690000 0.065808 0.042841 1
3700000 0.104546 0.048145 1
3710000 0.086663 0.045196 1
3720000 0.056036 0.052903 1
3730000 0.092302 0.044316 1
3740000 0.008269 0.05949 1
3750000 0.132042 0.058187 1
3760000 0.010678 0.041743 1
3770000 0.054871 0.051387 1
3780000 0.008569 0.050128 1
3790000 0.013102 0.04958 1
3800000 0.035351 0.049144 1
3810000 0.087498 0.042975 1
3820000 0.149161 0.054934 1
3830000 0.029516 0.048583 1
3840000 0.060719 0.054137 1
3850000 0.285568 0.050817 1
3860000 0.140317 0.041254 1
3870000 0.514106 0.049588 1
3880000 0.167622 0.056652 1
3890000 0.011904 0.042316 1
3900000 0.052652 0.043701 1
3910000 0.009361 0.053685 1
3920000 0.070598 0.053395 1
3930000 0.060097 0.042287 1
3940000 0.016125 0.052622 1
3950000 0.003963 0.053997 1
3960000 0.057149 0.048356 1
3970000 0.320866 0.052259 1
3980000 0.101905 0.04133 1
3990000 0.057769 0.054103 1
4000000 0.337226 0.053008 1
4010000 0.026066 0.053486 1
4020000 0.024797 0.061759 1
4030000 0.06939 0.056529 1
4040000 0.154839 0.042142 1
4050000 0.021952 0.053106 1
4060000 0.147526 0.048366 1
4070000 0.037425 0.054703 1
4080000 0.668542 0.050728 1
4090000 1.04888 0.052927 1
4100000 0.06851 0.04917 1
4110000 0.507548 0.047111 1
4120000 0.12327 0.048593 1
4130000 0.23658 0.05361 1
4140000 0.067515 0.061209 1
4150000 0.022767 0.061203 1
4160000 0.342708 0.044963 1
4170000 0.084857 0.050486 1
4180000 0.033342 0.048818 1
4190000 0.176865 0.052088 1
4200000 0.124708 0.056124 1
4210000 0.050396 0.050871 1
4220000 0.023234 0.042174 1
4230000 0.183301 0.048586 1
4240000 0.050767 0.065475 1
4250000 0.121319 0.056763 1
4260000 0.106596 0.05607 1
4270000 0.096444 0.043158 1
4280000 0.067013 0.050371 1
4290000 0.20312 0.047984 1
4300000 0.677297 0.054598 1
4310000 0.059851 0.04173 1
4320000 0.61218 0.047791 1
4330000 0.141487 0.050087 1
4340000 0.113933 0.056227 1
4350000 0.155236 0.059626 1
4360000 0.127916 0.043825 1
4370000 0.128461 0.061542 1
4380000 0.007961 0.059337 1
4390000 0.020436 0.066077 1
4400000 0.079226 0.047524 1
4410000 0.081537 0.059375 1
4420000 0.055083 0.048486 1
4430000 0.008495 0.054398 1
4440000 0.041432 0.054587 1
4450000 0.446149 0.047645 1
4460000 0.045574 0.057418 1
4470000 0.065794 0.062149 1
4480000 0.020767 0.053584 1
4490000 0.040091 0.061153 1
4500000 0.03426 0.065349 1
4510000 0.126526 0.049502 1
4520000 0.073855 0.041109 1
4530000 0.007129 0.05622 1
4540000 0.048289 0.052493 1
4550000 0.073918 0.066355 1
4560000 0.045132 0.050261 1
4570000 0.771771 0.055767 1
4580000 0.051643 0.062962 1
4590000 0.005808 0.057466 1
4600000 0.085422 0.051811 1
4610000 0.108494 0.054326 1
4620000 0.289909 0.049163 1
4630000 0.08877 0.055092 1
4640000 0.2377 0.063582 1
4650000 0.63096 0.07434 1
