N RS DS
3770000 0.007608 0.030162 1
3780000 0.006199 0.032105 1
3790000 0.006169 0.035066 1
3800000 0.010304 0.036701 1
3810000 0.007434 0.032388 1
3820000 0.006077 0.031024 1
3830000 0.006168 0.031574 1
3840000 0.007842 0.033138 1
3850000 0.006606 0.032344 1
3860000 0.007125 0.034138 1
3870000 0.007944 0.034523 1
3880000 0.007584 0.036895 1
3890000 0.00718 0.034263 1
3900000 0.00797 0.029846 1
3910000 0.009656 0.047239 1
3920000 0.010242 0.049956 1
3930000 0.011038 0.045705 1
3940000 0.010816 0.045023 1
3950000 0.007334 0.032719 1
3960000 0.006807 0.032801 1
3970000 0.007585 0.036883 1
3980000 0.008071 0.032786 1
3990000 0.007433 0.038712 1
4000000 0.007532 0.038789 1
4010000 0.008069 0.038352 1
4020000 0.007381 0.036271 1
4030000 0.007128 0.033838 1
4040000 0.006946 0.032244 1
4050000 0.006212 0.037065 1
4060000 0.008592 0.033264 1
4070000 0.007146 0.031035 1
4080000 0.00776 0.034541 1
4090000 0.00652 0.033714 1
4100000 0.007185 0.033403 1
4110000 0.007641 0.043204 1
4120000 0.008156 0.045689 1
4130000 0.011259 0.036368 1
4140000 0.007365 0.036411 1
4150000 0.008827 0.044792 1
4160000 0.008154 0.041366 1
4170000 0.008392 0.033824 1
4180000 0.007231 0.034454 1
4190000 0.007056 0.037873 1
4200000 0.007338 0.038205 1
4210000 0.007883 0.036603 1
4220000 0.006735 0.034023 1
4230000 0.008604 0.036121 1
4240000 0.007711 0.031701 1
4250000 0.007599 0.038385 1
4260000 0.008027 0.039612 1
4270000 0.008344 0.039767 1
4280000 0.007821 0.039874 1
4290000 0.008683 0.03911 1
4300000 0.008999 0.034797 1
4310000 0.007471 0.033815 1
4320000 0.008593 0.03806 1
4330000 0.007284 0.035294 1
4340000 0.008844 0.033588 1
4350000 0.008145 0.034224 1
4360000 0.007963 0.034677 1
4370000 0.006947 0.033895 1
4380000 0.008136 0.036938 1
4390000 0.00901 0.035607 1
4400000 0.007578 0.034309 1
4410000 0.008379 0.038864 1
4420000 0.008529 0.034137 1
4430000 0.007464 0.035124 1
4440000 0.008433 0.037459 1
4450000 0.007061 0.036091 1
4460000 0.007186 0.034857 1
4470000 0.007982 0.035357 1
4480000 0.007208 0.03717 1
4490000 0.007229 0.035215 1
4500000 0.006937 0.033691 1
4510000 0.008094 0.030329 1
4520000 0.007976 0.035081 1
4530000 0.00772 0.036498 1
4540000 0.007302 0.036938 1
4550000 0.008411 0.037095 1
4560000 0.008002 0.04031 1
4570000 0.009111 0.04292 1
4580000 0.008305 0.040245 1
4590000 0.009546 0.035639 1
4600000 0.008802 0.037538 1
4610000 0.007744 0.04006 1
4620000 0.009649 0.042363 1
4630000 0.00878 0.042509 1
4640000 0.009239 0.035443 1
4650000 0.007612 0.037086 1
4660000 0.009166 0.036304 1
4670000 0.008864 0.03794 1
4680000 0.007654 0.0402 1
4690000 0.008978 0.043136 1
4700000 0.008374 0.035983 1
4710000 0.008634 0.035943 1
4720000 0.007917 0.036849 1
4730000 0.008243 0.040777 1
4740000 0.008154 0.039679 1
4750000 0.008928 0.03741 1
4760000 0.007914 0.037311 1
4770000 0.00845 0.03752 1
4780000 0.008421 0.040205 1
4790000 0.008813 0.045272 1
4800000 0.009794 0.043308 1
4810000 0.008694 0.036908 1
4820000 0.008125 0.040181 1
4830000 0.008902 0.040401 1
4840000 0.008602 0.043414 1
4850000 0.009869 0.037024 1
4860000 0.008061 0.038195 1
4870000 0.008795 0.036142 1
4880000 0.008484 0.036088 1
4890000 0.007919 0.037988 1
4900000 0.008355 0.036826 1
4910000 0.008167 0.037582 1
4920000 0.009275 0.039524 1
4930000 0.01011 0.040508 1
4940000 0.009694 0.046214 1
4950000 0.009216 0.042411 1
4960000 0.008447 0.039506 1
4970000 0.008868 0.039334 1
4980000 0.00935 0.040711 1
4990000 0.010576 0.045284 1
5000000 0.008447 0.040558 1
