N RS DS
3960000 0.014442 0.038849 1
3970000 0.012587 0.03974 1
3980000 0.013018 0.043073 1
3990000 0.01433 0.041954 1
4000000 0.013794 0.043301 1
4010000 0.012648 0.042143 1
4020000 0.013454 0.045651 1
4030000 0.014014 0.046051 1
4040000 0.012219 0.047062 1
4050000 0.011766 0.041673 1
4060000 0.012729 0.039287 1
4070000 0.013054 0.039653 1
4080000 0.012596 0.040712 1
4090000 0.012764 0.041446 1
4100000 0.013831 0.039704 1
4110000 0.014151 0.039159 1
4120000 0.013445 0.040965 1
4130000 0.013073 0.045841 1
4140000 0.014349 0.042719 1
4150000 0.013386 0.044469 1
4160000 0.013585 0.041411 1
4170000 0.013113 0.042594 1
4180000 0.013244 0.048461 1
4190000 0.013032 0.071983 1
4200000 0.014493 0.044747 1
4210000 0.014681 0.043763 1
4220000 0.012158 0.048915 1
4230000 0.014523 0.048935 1
4240000 0.01445 0.041969 1
4250000 0.013 0.041502 1
4260000 0.012526 0.042427 1
4270000 0.013289 0.04204 1
4280000 0.013636 0.044622 1
4290000 0.01367 0.045714 1
4300000 0.013434 0.050066 1
4310000 0.01473 0.049376 1
4320000 0.014585 0.042798 1
4330000 0.01409 0.046669 1
4340000 0.013794 0.04654 1
4350000 0.015531 0.042124 1
4360000 0.012523 0.047212 1
4370000 0.013077 0.045263 1
4380000 0.013974 0.047638 1
4390000 0.014705 0.047402 1
4400000 0.01251 0.046418 1
4410000 0.013667 0.043629 1
4420000 0.013897 0.042103 1
4430000 0.012508 0.049559 1
4440000 0.013681 0.048996 1
4450000 0.01355 0.045783 1
4460000 0.013538 0.051153 1
4470000 0.014203 0.065337 1
4480000 0.017573 0.074742 1
4490000 0.01576 0.080372 1
4500000 0.018013 0.050255 1
4510000 0.013004 0.050135 1
4520000 0.014888 0.049434 1
4530000 0.015245 0.048162 1
4540000 0.012374 0.046027 1
4550000 0.014503 0.044752 1
4560000 0.01592 0.043712 1
4570000 0.012832 0.047269 1
4580000 0.014449 0.049409 1
4590000 0.016302 0.045479 1
4600000 0.012865 0.047276 1
4610000 0.014691 0.051453 1
4620000 0.016924 0.046838 1
4630000 0.015232 0.049806 1
4640000 0.013623 0.050907 1
4650000 0.014819 0.050257 1
4660000 0.012486 0.050837 1
4670000 0.015451 0.04997 1
4680000 0.013831 0.056125 1
4690000 0.016881 0.050967 1
4700000 0.014479 0.055829 1
4710000 0.016743 0.054916 1
4720000 0.016106 0.076261 1
4730000 0.027935 0.06445 1
4740000 0.016636 0.055635 1
4750000 0.014487 0.056709 1
4760000 0.016592 0.053724 1
4770000 0.016382 0.053431 1
4780000 0.015149 0.052207 1
4790000 0.015662 0.056226 1
4800000 0.014894 0.052482 1
4810000 0.013513 0.051828 1
4820000 0.01414 0.052233 1
4830000 0.014124 0.052299 1
4840000 0.015973 0.048623 1
4850000 0.013823 0.062665 1
4860000 0.029047 0.072906 1
4870000 0.017959 0.054847 1
4880000 0.014315 0.054253 1
4890000 0.017045 0.051861 1
4900000 0.017544 0.05577 1
4910000 0.014943 0.057638 1
4920000 0.016738 0.056551 1
4930000 0.015473 0.050821 1
4940000 0.022413 0.053203 1
4950000 0.013718 0.051324 1
4960000 0.015421 0.050283 1
4970000 0.013332 0.052376 1
4980000 0.016366 0.056766 1
4990000 0.015582 0.056408 1
5000000 0.017001 0.051861 1
